Lemma	PoS	Freq(ipm)	R	D	Doc
а	conj	8198.0	100	97	32332
а	intj	19.8	99	90	757
а	part	6.1	59	79	128
а	s	2.7	59	85	160
аа	intj	1.5	47	80	68
а-а	intj	17.8	79	74	627
ааа	intj	1.1	37	78	61
а-а-а	intj	6.7	76	79	325
а-а-а-а	intj	0.8	35	82	54
абажур	s	4.9	79	90	269
аббат	s	1.6	44	79	63
аббатство	s	0.9	33	77	40
аббревиатура	s	3.5	83	91	239
абвер	s	2.7	22	38	25
Абдулла	s.PROP	4.4	32	55	50
аберрация	s	0.7	36	79	50
абзац	s	10.2	99	87	478
абитуриент	s	4.0	78	88	193
абонемент	s	1.8	59	87	118
абонементный	a	0.4	24	76	30
абонент	s	10.6	87	83	321
абонентский	a	2.5	53	81	127
абордаж	s	0.5	38	85	44
абориген	s	5.8	86	82	255
аборт	s	8.3	93	87	300
абразивный	a	0.9	28	71	51
абракадабра	s	1.0	50	83	73
Абрам	s.PROP	4.1	65	83	126
Абрамов	s.PROP	3.7	65	85	154
Абрамович	s.PROP	10.8	78	88	410
абрек	s	1.3	37	65	47
абрикос	s	3.3	72	80	139
абрикосовый	a	1.2	51	85	73
абрис	s	1.1	49	83	72
абсент	s	1.4	26	62	34
абсолют	s	2.9	78	89	160
абсолютизация	s	0.6	21	71	36
абсолютизировать	v	0.5	30	78	41
абсолютизм	s	1.2	35	77	51
абсолютно	adv	88.2	100	96	3617
абсолютность	s	0.4	28	82	35
абсолютный	a	42.3	100	93	2070
абсорбент	s	0.4	6	34	7
абсорбция	s	0.9	21	57	28
абстрагирование	s	0.5	15	63	22
абстрагировать	v	0.4	18	72	25
абстрагироваться	v	1.0	51	85	76
абстрактно	adv	0.7	41	84	54
абстрактный	a	15.9	100	87	743
абстракционизм	s	0.6	39	85	43
абстракционист	s	0.6	32	80	42
абстракция	s	5.6	90	82	274
абсурд	s	9.1	98	93	527
абсурдно	adv	1.3	65	90	102
абсурдность	s	1.5	67	90	121
абсурдный	a	4.5	91	93	325
абсцесс	s	0.4	19	74	21
абсцисса	s	0.9	15	65	53
Абу	s.PROP	2.9	57	82	132
абхаз	s	0.7	20	52	28
абхазец	s	0.6	29	79	32
Абхазия	s.PROP	5.2	72	83	184
абхазский	a	2.1	53	83	92
абы	part	1.2	59	89	93
авангард	s	9.8	90	88	447
авангардизм	s	0.5	29	80	36
авангардист	s	1.6	55	84	97
авангардистский	a	0.6	33	83	44
авангардный	a	3.4	69	88	220
аванс	s	7.1	96	93	375
авансовый	a	1.4	41	73	61
авансцена	s	2.5	67	88	176
авантюра	s	5.5	89	91	323
авантюризм	s	1.2	62	89	92
авантюрист	s	4.1	86	92	256
авантюристка	s	0.6	32	83	43
авантюрный	a	2.3	73	90	157
аварийно-спасательный	a	1.2	19	51	36
аварийность	s	1.3	40	79	69
аварийный	a	12.5	93	85	555
авария	s	29.6	99	91	1183
авва	s	1.3	19	39	39
Аввакум	s.PROP	1.8	50	66	77
авгиев	a	0.5	34	84	40
август	s	91.0	100	93	3185
августейший	a	1.1	48	84	62
Августин	s.PROP	2.8	48	69	92
августовский	a	5.6	90	92	336
